epoch,step,min,max,mean,std
1,100,-0.0005697948508895934,5.340537882148055e-06,-3.576400558813475e-05,7.374501001322642e-05
2,200,-0.003046172671020031,0.003250549314543605,2.677287920960225e-05,0.0002518469118513167
3,300,-0.009893810376524925,0.0018409726908430457,-0.000276134698651731,0.0007274990202859044
4,400,-0.0028051240369677544,0.00614919513463974,0.00024219309852924198,0.0005214698612689972
5,500,-0.003854027483612299,0.00648821797221899,0.0001420462504029274,0.0005840627127327025
6,600,-0.0026405295357108116,0.0055023375898599625,0.00013051606947556138,0.0004609528696164489
7,700,-0.002417932962998748,0.0026046098209917545,6.247939018066972e-05,0.0003385682648513466
8,800,-0.0033897203393280506,0.006940221413969994,0.00013145775301381946,0.0005003990372642875
9,900,-0.0016987354028970003,0.015355199575424194,0.00038058432983234525,0.0009450464276596904
10,1000,-0.0028139734640717506,0.003709504147991538,2.8779904823750257e-05,0.00033276595058850944
11,1100,-0.0038133596535772085,0.004565062001347542,0.00012355999206192791,0.0005087598692625761
12,1200,-0.006964965257793665,0.0019135221373289824,-0.00020658870926126838,0.0005676671280525625
13,1300,-0.008846118114888668,0.00545135885477066,4.5689910621149465e-05,0.0008154059178195894
14,1400,-0.004388499539345503,0.002089301822707057,-0.00012480032455641776,0.0003957861918024719
15,1500,-0.0025850955862551928,0.00863878894597292,0.00021758436923846602,0.0006075481651350856
16,1600,-0.005742010660469532,0.0025592385791242123,-7.481039210688323e-05,0.0003932586114387959
