1,100,35.546677630841735
2,200,-1.7916134947538376
3,300,-1.020157706141472
4,400,-1.1443575856089592
5,500,-2.141653048992157
6,600,-2.3065699610114097
7,700,-3.1934506714344026
8,800,-3.930150893330574
9,900,-4.343623480796814
10,1000,-4.740763239860534
11,1100,-4.85727394580841
12,1200,-5.240616301298141
13,1300,-5.653627051115036
14,1400,-5.801764771938324
15,1500,-5.881264433860779
16,1600,-6.200970258712768
17,1700,-6.307762379646301
18,1800,-6.38001277923584
19,1900,-6.340572137832641
20,2000,-6.678689739704132
21,2100,-6.6614325451850895
22,2200,-7.212066867351532
23,2300,-7.250473735332489
24,2400,-7.250339341163635
25,2500,-7.164281797409058
26,2600,-7.241799831390381
27,2700,-7.330693881511689
28,2800,-7.635474758148193
29,2900,-7.4154643321037295
30,3000,-7.600692591667175
31,3100,-7.48200822353363
32,3200,-7.336315460205078
33,3300,-7.1751534724235535
34,3400,-7.782665746212006
35,3500,-7.994672842025757
36,3600,-7.949323568344116
37,3700,-7.854621696472168
38,3800,-8.071947710514069
39,3900,-8.108145945072174
40,4000,-8.258338356018067
41,4100,-8.154250330924988
42,4200,-7.945820248126983
43,4300,-7.826857771873474
44,4400,-8.6310662317276
45,4500,-8.034528312683106
46,4600,-8.503917832374572
47,4700,-8.12097447872162
48,4800,-8.074018030166625
49,4900,-8.41164714574814
50,5000,-8.588626756668091
