Index,Traffic_Received,Traffic_Predicted
0,4,1
1,2,5
2,1,4
3,2,3
4,2,3
5,4,3
6,1,6
7,18,3
8,6,16
9,4,8
10,2,6
11,1,3
12,3,2
13,3,3
14,3,2
15,25,2
16,13,10
17,30,10
18,3,22
19,3,7
20,2,4
21,1,3
22,2,2
23,4,2
24,17,2
25,8,10
26,13,7
27,4,11
28,3,6
29,5,4
30,1,4
31,1,1
32,3,1
33,3,2
34,1,2
35,5,1
36,7,4
37,12,5
38,3,9
39,4,4
40,1,4
41,9,2
42,3,6
43,6,3
44,4,3
45,17,3
46,21,9
47,1,16
48,4,4
49,2,5
50,2,2
51,2,3
52,12,2
53,10,5
54,2,6
55,1,3
56,2,2
57,4,2
58,1,3
59,1,2
60,6,1
61,6,4
62,10,4
63,7,6
64,7,7
65,23,7
66,55,17
67,29,26
68,8,26
69,22,11
70,1,19
71,2,3
72,3,2
73,7,2
74,11,3
75,21,7
76,12,16
77,3,11
78,8,7
79,2,7
80,4,3
81,4,3
82,4,3
83,16,3
84,10,9
85,7,8
86,8,7
87,2,7
88,4,5
89,1,4
90,4,1
91,1,3
92,7,1
93,4,5
94,6,4
95,9,5
96,16,7
97,5,14
98,4,6
99,7,5
100,2,5
101,5,3
102,15,4
103,11,9
104,23,9
105,3,19
106,3,5
107,9,3
108,1,5
109,5,2
110,12,3
111,8,6
112,3,7
113,3,4
114,5,4
115,7,5
116,8,5
117,1,7
118,1,2
119,1,1
120,5,1
121,13,3
122,6,9
123,11,6
124,17,9
125,5,15
126,2,7
127,4,4
128,4,4
129,1,3
130,4,2
131,6,2
132,19,3
133,11,10
134,26,8
135,4,19
136,5,6
137,3,6
138,5,3
139,5,3
140,10,3
141,6,5
142,6,5
143,10,5
144,2,9
145,7,4
146,3,6
147,1,3
148,5,1
149,2,3
150,7,2
151,3,5
152,4,4
153,13,4
154,11,10
155,6,9
156,3,7
157,1,3
158,5,2
159,5,3
160,11,4
161,16,5
162,21,12
163,5,18
164,2,7
165,3,3
166,7,3
167,1,4
168,13,2
169,9,8
170,6,6
171,3,6
172,3,4
173,4,4
174,4,3
175,1,3
176,6,1
177,3,4
178,1,3
179,6,2
180,11,5
181,16,9
182,11,14
183,17,11
184,6,15
185,4,7
186,5,6
187,2,5
188,1,2
189,16,1
190,11,9
191,18,7
192,8,14
193,7,8
194,1,8
195,7,2
196,14,5
197,5,9
198,2,5
199,2,3
200,5,2
201,7,4
202,11,6
203,1,7
204,1,2
205,1,1
206,6,1
207,4,4
208,7,4
209,7,6
210,6,8
211,8,7
212,13,8
213,11,11
214,2,10
215,3,4
216,4,4
217,3,3
218,9,3
219,4,4
220,14,3
221,11,8
222,24,9
223,3,20
224,1,5
225,1,3
226,4,2
227,2,3
228,4,2
229,15,2
230,9,9
231,5,7
232,4,5
233,1,5
234,9,2
235,4,6
236,1,4
237,8,1
238,12,4
239,6,7
240,16,6
241,19,13
242,14,16
243,3,14
244,2,7
245,1,3
246,4,2
247,4,2
248,10,3
249,2,5
250,27,3
251,7,13
252,13,7
253,16,10
254,7,14
255,6,8
256,1,7
257,5,2
258,5,3
259,4,4
260,1,3
261,1,1
262,6,1
263,2,4
264,1,3
265,1,1
266,8,2
267,15,6
268,2,11
269,7,4
270,14,5
271,7,9
272,2,8
273,15,4
274,13,11
275,5,10
276,8,6
277,3,7
278,10,4
279,9,6
280,4,7
281,17,6
282,1,13
