epoch,step,min,max,mean,std
1,100,-0.00010034567094407976,7.950468716444448e-05,-8.114978300000075e-06,3.117546657449566e-05
2,200,-9.446998592466116e-05,5.2268154831836e-05,-8.655191777506843e-06,2.4975426640594378e-05
3,300,-9.337154915556312e-05,0.00017579301493242383,1.7597298210603185e-05,4.557652573566884e-05
4,400,-7.860444020479918e-05,0.00015344659914262593,1.7273170669795945e-05,3.941776594729163e-05
5,500,-3.129631659248844e-05,3.6827641451964155e-05,-3.1941267479851376e-06,9.665654033597093e-06
6,600,-6.361762643791735e-05,0.00011380448268027976,1.428412815585034e-05,2.9910432203905657e-05
7,700,-6.103068881202489e-05,0.00012772480840794742,1.7270409443881363e-05,3.336691952426918e-05
8,800,-5.2786872402066365e-05,0.00010080328502226621,1.389122371620033e-05,2.69523479801137e-05
9,900,-5.330897693056613e-05,0.0001095399638870731,1.5009305570856668e-05,2.9942799301352352e-05
10,1000,-0.00020023588149342686,0.00046776351518929005,6.816105451434851e-05,0.00012634939048439264
11,1100,-0.0012024843599647284,0.0004874488804489374,-0.00017643887258600444,0.00033000792609527707
12,1200,-0.00027610157849267125,0.0001008698163786903,-4.2346142436144873e-05,7.546209963038564e-05
13,1300,-0.00022559806529898196,0.0005560926510952413,8.506177982781082e-05,0.00015483045717701316
14,1400,-0.00022621154494117945,0.0005438720691017807,8.445019193459302e-05,0.00015281717060133815
15,1500,-0.0005077165551483631,0.0012569304089993238,0.0001983567199204117,0.0003552531998138875
16,1600,-0.0004971931921318173,0.0012680906802415848,0.0002010805474128574,0.0003623469383455813
17,1700,-0.00022045178047847003,0.0005798835773020983,9.58735472522676e-05,0.00016484463412780315
18,1800,-0.00032904697582125664,0.0008138492121361196,0.00013237286475487053,0.0002351978764636442
19,1900,-0.0003284165868535638,0.0007941288058646023,0.0001307792990701273,0.00023096933728083968
20,2000,-0.00025436971918679774,0.0006374047370627522,0.00010867133096326143,0.00018583938071969897
21,2100,-8.927677117753774e-05,0.00016842101467773318,2.944026891782414e-05,4.9863665481097996e-05
22,2200,-0.0013725229073315859,0.0005474869976751506,-0.00023133949434850365,0.0004080168146174401
23,2300,-0.0002738896873779595,0.0006460314616560936,0.00011175981489941478,0.00019159818475600332
24,2400,-6.464149191742763e-05,0.00011823169916169718,1.9092240108875558e-05,3.687569551402703e-05
25,2500,-0.00030410807812586427,0.000741143012419343,0.00012889243953395635,0.0002223669143859297
26,2600,-0.0004590369062498212,0.0010901709320023656,0.00019071763381361961,0.0003288737789262086
27,2700,-8.127970068017021e-05,4.8728084948379546e-05,7.3371402322663926e-06,1.793333467503544e-05
28,2800,-0.00034096548915840685,0.0008167840423993766,0.00014435886987484992,0.00024862904683686793
29,2900,-0.00016563695680815727,6.28218986093998e-05,-3.069531885557808e-05,4.79084046673961e-05
30,3000,-0.0004189955652691424,0.00021362860570661724,-7.185951108112931e-05,0.0001313479442615062
31,3100,-0.0005619929870590568,0.001322673400864005,0.00023659123689867556,0.00040784370503388345
32,3200,-0.0006400496349669993,0.0002667929802555591,-0.00011309140245430171,0.00019937162869609892
33,3300,-8.629560761619359e-05,2.612543903524056e-05,-1.7055863281711936e-05,2.5657829610281624e-05
34,3400,-0.0003713042242452502,0.00013644302089232951,-6.551637488882989e-05,0.00011672195978462696
35,3500,-0.000211149817914702,0.00016722289728932083,2.8405949706211686e-05,5.863243495696224e-05
36,3600,-0.0006518539739772677,0.0015002376167103648,0.00027447487809695303,0.00046981562627479434
37,3700,-0.0013753757812082767,0.0005548648186959326,-0.0002542544389143586,0.00043011526577174664
38,3800,-0.00011517020902829245,0.00025612651370465755,4.773360342369415e-05,8.083504508249462e-05
39,3900,-0.00024656159803271294,0.0001062784212990664,-4.594399797497317e-05,7.773137622280046e-05
40,4000,-0.0015154569409787655,0.0006144370418041945,-0.00027604331262409687,0.0004840666661038995
41,4100,-0.0005158451967872679,0.0011806800030171871,0.00022016745060682297,0.0003746113507077098
42,4200,-0.0004737153649330139,0.00024066056357696652,-8.16106257843785e-05,0.00015759776579216123
43,4300,-0.0003287175204604864,0.00016494820010848343,-6.005424802424386e-05,0.00010688285692594945
44,4400,-8.092686766758561e-05,0.00012439140118658543,-1.4491037291008979e-05,2.3729668100713752e-05
45,4500,-0.0064444756135344505,0.0027656201273202896,-0.001222122460603714,0.00205626362003386
46,4600,-0.0007347099017351866,0.00027020525885745883,-0.0001451175776310265,0.00023099187819752842
47,4700,-0.0002325886016478762,4.8451736802235246e-05,-2.4595160539320204e-06,2.2203934349818155e-05
48,4800,-0.0008429032750427723,0.00034954032162204385,-0.0001552595931570977,0.0002757740148808807
49,4900,-0.0003936700813937932,0.0001584970741532743,-7.629078754689544e-05,0.0001261488941963762
50,5000,-0.0006357800448313355,0.0014716078294441104,0.0002795637119561434,0.00047705299220979214
