epoch,step,min,max,mean,std
1,100,-0.0027787897270172834,0.0002525643212720752,-3.71619789802935e-05,0.0002567015471868217
2,200,-0.0017270304961130023,5.170149597688578e-05,-2.362502709729597e-05,0.00016298516129609197
3,300,-0.00011471260950202122,0.0007827102090232074,1.1307722161291167e-05,7.285653555300087e-05
4,400,-0.005865794140845537,3.5281513532936515e-07,-8.369741408387199e-05,0.0005560958525165915
5,500,-0.00900376308709383,1.1282374998700107e-06,-0.00012757832882925868,0.0008503967546857893
6,600,-7.892695066402666e-07,0.009206674993038177,0.00013141296221874654,0.0008730245172046125
7,700,-0.0046095214784145355,5.1878341764677316e-05,-6.526541255880147e-05,0.0004335415724199265
8,800,-0.00963357463479042,1.5120174623461935e-07,-0.0001385807408951223,0.0009248382993973792
9,900,-0.011915394105017185,1.3237876146376948e-06,-0.000166810437804088,0.0011173841776326299
10,1000,-0.0006284851697273552,2.8958465918549336e-05,-8.913692909118254e-06,6.132165435701609e-05
11,1100,0.0,0.004624200984835625,6.475677946582437e-05,0.0004321760206948966
12,1200,-2.2015055947122164e-06,0.00473786098882556,6.630345887970179e-05,0.0004413273127283901
13,1300,-0.005635619163513184,1.456533937016502e-06,-7.940604700706899e-05,0.0005310635315254331
14,1400,0.0,0.004195725079625845,5.9974536270601675e-05,0.00039972347440198064
15,1500,0.0,0.0041496604681015015,5.835234696860425e-05,0.0003893556713592261
16,1600,0.0,0.01781277544796467,0.0002552770893089473,0.0017040750244632363
17,1700,-0.017424117773771286,3.31049278656792e-07,-0.0002461093245074153,0.0016485376982018352
18,1800,-0.0014719936298206449,3.755744501177105e-06,-1.9969416825915687e-05,0.0001348345831502229
19,1900,-0.003265741281211376,2.014705614783452e-06,-4.461782009457238e-05,0.0002996334224008024
20,2000,0.0,0.00437766220420599,6.136488082120195e-05,0.00041123005212284625
21,2100,-8.535492816008627e-05,0.0001349008089164272,9.111230951930338e-07,9.31353588384809e-06
22,2200,-0.003865982638671994,5.750037779250761e-09,-5.436276114778593e-05,0.00036446156445890665
23,2300,-0.022153126075863838,7.821457188583736e-07,-0.0003139128675684333,0.0021044330205768347
