epoch,step,min,max,mean,std
1,100,-0.00011931685003219172,0.00017098805983550847,5.77336550122709e-07,2.1460884454427287e-05
2,200,-0.0001073477542377077,0.00010255641245748848,4.847512968808587e-07,1.2526706996141002e-05
3,300,-5.786966721643694e-05,4.6694345655851066e-05,-9.168003884951759e-07,6.494075023510959e-06
4,400,-0.00016412982949987054,0.00018796036601997912,1.2848639698859188e-06,3.250471854698844e-05
5,500,-0.00020809283887501806,0.000238391337916255,1.91881917999126e-06,4.7495286707999185e-05
6,600,-0.0002409719309071079,0.00022330987849272788,-1.615084329387173e-06,4.943317617289722e-05
7,700,-0.0001583452831255272,0.00018107116920873523,1.1100330539193237e-06,2.375340773141943e-05
8,800,-0.00025023877969942987,0.00028974260203540325,2.3840805170038948e-06,5.075856461189687e-05
9,900,-0.00032163504511117935,0.00037917643203400075,2.1656414901372045e-06,5.760577550972812e-05
10,1000,-4.231107232044451e-05,4.698928751167841e-05,1.0428636443293726e-07,4.422593519848306e-06
11,1100,-0.0001158800587290898,0.00010915584425674751,-6.444028031182825e-07,2.186825076933019e-05
12,1200,-0.0001629166363272816,0.0001514445903012529,-5.888776968276943e-07,2.2784724933444522e-05
13,1300,-0.00013668784231413156,0.00015063138562254608,1.1303353630864876e-06,2.7004736693925224e-05
14,1400,-9.813321230467409e-05,9.203157969750464e-05,-6.606726969948795e-07,1.9874138160957955e-05
15,1500,-0.00012094758858438581,0.00011053351045120507,-5.998127221573668e-07,1.837986746977549e-05
16,1600,-0.00044155254727229476,0.00042675237637013197,-1.811881702451501e-06,8.121372957248241e-05
17,1700,-0.0004154968191869557,0.00043413613457232714,3.6571609598468058e-06,7.89897603681311e-05
18,1800,-4.435041410033591e-05,4.73851541755721e-05,2.0230899622220022e-07,6.878251952002756e-06
19,1900,-9.009940549731255e-05,9.248050628229976e-05,4.549118557406473e-07,1.4168957932270132e-05
20,2000,-0.00010112336894962937,9.745552961248904e-05,-5.807131060464599e-07,1.9235818399465643e-05
21,2100,-1.1215721315238625e-05,1.126250390370842e-05,-6.225229043366198e-08,1.571365487507137e-06
22,2200,-0.00010257243411615491,9.311137546319515e-05,6.272119890127215e-07,1.644728945393581e-05
23,2300,-0.0005255391588434577,0.0005723327049054205,6.406755346688442e-06,9.538067388348281e-05
