1,100,16.177453103065492
2,200,-113.96107261657716
3,300,-185.92001472473146
4,400,-260.71009857177734
5,500,-333.9222280883789
6,600,-401.10621520996096
7,700,-448.2266226196289
8,800,-482.8148699951172
9,900,-504.46400634765627
10,1000,-518.3384899902344
11,1100,-524.6695944213867
12,1200,-533.7997998046875
13,1300,-539.8831124877929
14,1400,-540.4011978149414
15,1500,-543.2741159057617
16,1600,-542.1949728393555
17,1700,-545.6480856323242
18,1800,-536.4617388916016
19,1900,-536.2152932739258
20,2000,-531.7386096191407
21,2100,-523.4339617919921
22,2200,-522.5093966674805
23,2300,-510.5597164916992
24,2400,-507.6056137084961
25,2500,-496.7723040771484
26,2600,-488.77725677490236
27,2700,-471.41770904541016
28,2800,-470.0464065551758
29,2900,-463.8292205810547
30,3000,-452.63609588623046
31,3100,-456.9137908935547
32,3200,-435.96731048583985
33,3300,-437.1520251464844
34,3400,-427.4026904296875
35,3500,-401.8151223754883
36,3600,-410.4212884521484
37,3700,-392.3764288330078
38,3800,-388.1596371459961
39,3900,-358.43622497558596
40,4000,-346.3368295288086
41,4100,-350.45653350830077
42,4200,-347.69476989746096
43,4300,-291.71217346191406
44,4400,-329.67313385009766
45,4500,-305.7898989868164
46,4600,-286.81059173583986
47,4700,-290.5781753540039
48,4800,-246.00240966796875
49,4900,-224.03433532714843
50,5000,-217.18452438354493
