1,100,-1.6918665885925293
2,200,-1.8781713104248048
3,300,-2.0114360308647155
4,400,-2.0632027196884155
5,500,-2.187319822311401
6,600,-2.192460069656372
7,700,-2.192377514839172
8,800,-2.1932869148254395
9,900,-2.1850588607788084
10,1000,-2.1880737733840943
11,1100,-2.185323729515076
12,1200,-2.1899948263168336
13,1300,-2.1898109674453736
14,1400,-2.1926845598220823
15,1500,-2.190906047821045
16,1600,-2.18953537940979
17,1700,-2.1887416219711304
18,1800,-2.1908104467391967
19,1900,-2.186104097366333
20,2000,-2.1865721464157106
21,2100,-2.1890591621398925
22,2200,-2.191670398712158
23,2300,-2.1893362903594973
24,2400,-2.1897894525527954
25,2500,-2.1877010440826417
26,2600,-2.18864652633667
27,2700,-2.1920879030227662
28,2800,-2.186315822601318
29,2900,-2.1910203742980956
30,3000,-2.190940499305725
31,3100,-2.1909113359451293
32,3200,-2.2769837617874145
33,3300,-2.401414923667908
34,3400,-2.4017353868484497
35,3500,-2.400715699195862
36,3600,-2.402855839729309
37,3700,-2.4034266471862793
38,3800,-2.4031268739700318
39,3900,-2.4020390129089355
40,4000,-2.4021119117736816
41,4100,-2.397402048110962
42,4200,-2.401449031829834
43,4300,-2.4000199031829834
44,4400,-2.4019168758392335
45,4500,-2.4036910772323608
46,4600,-2.401051278114319
47,4700,-2.3983253049850464
48,4800,-2.4020544862747193
49,4900,-2.4029031372070313
50,5000,-2.40076997756958
