1,100,164.54014434814454
2,200,-136.4987914943695
3,300,-298.2388461303711
4,400,-341.71408294677735
5,500,-376.30751556396484
6,600,-415.32854064941404
7,700,-450.3876159667969
8,800,-504.23869689941404
9,900,-565.6658245849609
10,1000,-633.7610858154297
11,1100,-701.1973669433594
12,1200,-749.3804095458985
13,1300,-785.6973284912109
14,1400,-822.5818005371094
15,1500,-847.5391430664063
16,1600,-870.5628723144531
17,1700,-889.8448181152344
18,1800,-905.3563525390625
19,1900,-916.8731921386719
20,2000,-922.4912097167969
21,2100,-932.5045379638672
22,2200,-934.3832977294921
23,2300,-937.1252960205078
24,2400,-938.8954711914063
25,2500,-940.252431640625
26,2600,-928.9069317626953
27,2700,-917.1669616699219
28,2800,-911.3741174316406
29,2900,-910.4290850830079
30,3000,-907.8882141113281
31,3100,-902.6174090576172
32,3200,-897.611787109375
33,3300,-893.2697790527344
34,3400,-888.0307788085937
35,3500,-893.42064453125
36,3600,-879.7469049072265
37,3700,-877.0595916748047
38,3800,-873.3847338867188
39,3900,-866.7446112060547
40,4000,-872.9389392089844
41,4100,-868.1370654296875
42,4200,-853.5922521972657
43,4300,-845.3337139892578
44,4400,-840.0589813232422
45,4500,-871.2819805908204
46,4600,-823.5915240478515
47,4700,-824.9448333740235
48,4800,-813.808579711914
49,4900,-807.6959478759766
50,5000,-835.7385064697265
