epoch,step,min,max,mean,std
1,100,-0.27345016598701477,0.06817660480737686,-0.08860493451356888,0.09914124757051468
2,200,-0.21399259567260742,0.204851895570755,-0.04870709776878357,0.12440803647041321
3,300,-0.2656887471675873,0.34957581758499146,-0.05487183481454849,0.1725560426712036
4,400,-0.24762201309204102,0.24224598705768585,0.05440535768866539,0.16085773706436157
5,500,-0.029239967465400696,0.06722968816757202,-0.0036920749116688967,0.012623583897948265
6,600,-0.1744852066040039,0.24807170033454895,-0.0298932958394289,0.12170201539993286
7,700,-0.042340315878391266,0.05837603658437729,0.022947216406464577,0.029065322130918503
8,800,-0.26158198714256287,0.26944398880004883,0.06368827819824219,0.17661525309085846
9,900,-0.14394456148147583,0.10028176009654999,-0.0018526534549891949,0.035857707262039185
10,1000,-0.9902487993240356,0.8208229541778564,0.16629460453987122,0.64731365442276
11,1100,-1.8900152444839478,1.6284980773925781,0.34306222200393677,1.2830318212509155
12,1200,-0.26049619913101196,0.3839018642902374,-0.034914951771497726,0.20781171321868896
13,1300,-0.4583433270454407,0.32133132219314575,-0.004811111371964216,0.18346001207828522
14,1400,-1.1541483402252197,1.0205609798431396,0.17244064807891846,0.784932553768158
15,1500,-0.22765332460403442,0.24075722694396973,-0.008969100192189217,0.08059053868055344
16,1600,-0.18976593017578125,0.1666923463344574,-0.03455319255590439,0.06257031112909317
17,1700,-2.0137903690338135,1.6055015325546265,0.315055787563324,1.2391818761825562
18,1800,-1.7499181032180786,1.5925743579864502,0.32306650280952454,1.1519709825515747
19,1900,-1.0085235834121704,0.8314777612686157,0.14468511939048767,0.6018560528755188
20,2000,-1.8890010118484497,2.1392147541046143,-0.33934110403060913,1.4571031332015991
21,2100,-0.9427593350410461,0.850226879119873,0.09249319136142731,0.5777289867401123
22,2200,-0.861376166343689,0.9055241346359253,0.21150746941566467,0.6438719630241394
23,2300,-1.655615210533142,1.9560420513153076,-0.2512473464012146,1.2980097532272339
24,2400,-0.6684173345565796,0.42047959566116333,0.0008731819689273834,0.3085312843322754
25,2500,-0.9904812574386597,1.2372815608978271,-0.1563015580177307,0.7962100505828857
26,2600,-4.061826229095459,3.567780017852783,0.6019181609153748,2.6859607696533203
27,2700,-1.2253209352493286,0.8852112293243408,0.14954566955566406,0.628558337688446
28,2800,-1.0609180927276611,1.0124571323394775,-0.26752111315727234,0.669156014919281
29,2900,-1.9952014684677124,1.635466456413269,0.1988581120967865,1.2259752750396729
30,3000,-2.7336580753326416,2.4848031997680664,0.585486114025116,1.8009204864501953
31,3100,-0.4698425531387329,0.45854321122169495,-0.07317094504833221,0.1317392885684967
32,3200,-1.0983392000198364,0.7268572449684143,0.07346440851688385,0.6169559359550476
33,3300,-4.781559467315674,4.207862854003906,0.6937857866287231,3.0451207160949707
34,3400,-1.823702096939087,1.7829698324203491,0.37660011649131775,1.3093844652175903
35,3500,-4.953580379486084,4.547250747680664,0.8847503066062927,3.4530186653137207
36,3600,-0.3380070924758911,0.5638514757156372,-0.0029037310741841793,0.2545868754386902
37,3700,-0.48400092124938965,0.5413527488708496,-0.09257916361093521,0.304226279258728
38,3800,-1.0473501682281494,0.9006456136703491,0.16329748928546906,0.5916215777397156
39,3900,-0.9931793212890625,1.6218113899230957,0.38282567262649536,0.4995088279247284
40,4000,-5.827116012573242,5.32118558883667,0.8709712028503418,3.8964765071868896
41,4100,-1.689980387687683,1.9905176162719727,0.5414599776268005,1.2992810010910034
42,4200,-0.2395903766155243,0.1558118462562561,-0.1025775894522667,0.09754224866628647
43,4300,-4.590123653411865,3.821211338043213,0.5704770684242249,2.867896318435669
44,4400,-0.804483950138092,0.9065850973129272,-0.1613120138645172,0.5738283395767212
45,4500,-3.6644039154052734,4.697841644287109,-0.5502496361732483,2.755051374435425
46,4600,-1.5900622606277466,1.3389337062835693,0.21546058356761932,0.9362145066261292
47,4700,-3.001211166381836,2.618509292602539,0.4423061013221741,1.9418494701385498
48,4800,-0.8872199058532715,1.210706114768982,-0.14623981714248657,0.6565622091293335
49,4900,-3.1017308235168457,3.775881290435791,-0.46949225664138794,2.299835205078125
50,5000,-2.4517977237701416,1.598135232925415,0.20430004596710205,1.1734868288040161
